编号,论文标题 (Paper Title),大致工作内容 (Brief Description)
233,Validity Is Not Enough: Uncovering the Security Pitfall in Chainlink's Off-Chain Reporting Protocol,揭示Chainlink链下报告协议的安全陷阱
234,Vault Raider: Stealthy UI-based Attacks Against Password Managers in Desktop Environments,桌面环境中针对密码管理器的隐蔽UI攻击
235,VDORAM: Towards a Random Access Machine with Both Public Verifiability and Distributed Obliviousness,兼具公开可验证性与分布式obliviousness的随机存取机
236,VeriLoRA: Fine-Tuning Large Language Models with Verifiable Security via Zero-Knowledge Proofs,通过零知识证明实现可验证安全的大语言模型微调
237,VICTOR: Dataset Copyright Auditing in Video Recognition Systems,视频识别系统中的数据集版权审计
238,ViGText: Deepfake Image Detection with Vision-Language Model Explanations and Graph Neural Networks,结合视觉语言模型解释与图神经网络检测深度伪造图像
239,VulSCA: A Community-Level SCA Approach for Accurate C/C++ Supply Chain Vulnerability Analysis,社区级软件成分分析实现精准C/C++供应链漏洞分析
240,Was My Data Used for Training? Membership Inference in Open-Source LLMs via Neural Activations,通过神经激活在开源LLM中进行成员推断
241,WBSLT: A Framework for White-Box Encryption Based on Substitution-Linear Transformation Ciphers,基于替换-线性变换密码的白盒加密框架
242,WCDCAnalyzer: Scalable Security Analysis of Wi-Fi Certified Device Connectivity Protocols,Wi-Fi认证设备连接协议的可扩展安全分析
243,What Do They Fix? LLM-Aided Categorization of Security Patches for Critical Memory Bugs,LLM辅助分类关键内存漏洞的安全补丁
244,When Cache Poisoning Meets LLM Systems: Semantic Cache Poisoning and Its Countermeasures,LLM系统中的语义缓存投毒及其对策
245,When Focus Enhances Utility: Target Range LDP Frequency Estimation and Unknown Item Discovery,目标范围LDP频率估计与未知项目发现
246,WhiteCloak: How to Hold Anonymous Malicious Clients Accountable in Secure Aggregation?,在安全聚合中追究匿名恶意客户端责任
247,WiFinger: Fingerprinting Noisy IoT Event Traffic Using Packet-level Sequence Matching,使用包级序列匹配对嘈杂IoT事件流量进行指纹识别
248,XR Devices Send WiFi Packets When They Should Not: Cross-Building Keylogging Attacks via Non-Cooperative Wireless Sensing,XR设备不应发送WiFi时发送，通过非合作无线感知实施跨建筑键盘记录攻击
249,ZKSL: Verifiable and Efficient Split Federated Learning via Asynchronous Zero-Knowledge Proofs,通过异步零知识证明实现可验证高效的分割联邦学习
